contract_id,category,contract_name,template_path,requirement,trigger,purpose,default_owner_function
TOS-CTR-073,Operations and Evidence,Observability,contracts/operations-evidence/TOS-CTR-073_observability.yaml,conditional,"Any operated software, service, workflow, or agent runtime","Defines logs, metrics, traces, events, dashboards, ownership, retention, and privacy.",Observability Support
TOS-CTR-074,Operations and Evidence,SLI and SLO,contracts/operations-evidence/TOS-CTR-074_sli-slo.yaml,conditional,"Any production, pilot, or reliability-committed service","Defines indicator, objective, measurement, window, exclusions, alerting, and consequence.",Observability Support
TOS-CTR-075,Operations and Evidence,Alert,contracts/operations-evidence/TOS-CTR-075_alert.yaml,conditional,Any monitored condition requiring action,"Defines signal, threshold, severity, routing, acknowledgment, escalation, and test evidence.",Observability Support
TOS-CTR-076,Operations and Evidence,Incident,contracts/operations-evidence/TOS-CTR-076_incident.yaml,conditional,"Any material service, security, data, agent, or delivery failure","Defines severity, impact, timeline, command, containment, communications, recovery, and closure.",Operations Manager
TOS-CTR-077,Operations and Evidence,Postmortem,contracts/operations-evidence/TOS-CTR-077_postmortem.yaml,conditional,Any qualifying incident or repeated failure,"Defines factual timeline, contributing factors, root cause, controls, owners, and verification.",Operations Manager
TOS-CTR-078,Operations and Evidence,Backup,contracts/operations-evidence/TOS-CTR-078_backup.yaml,conditional,"Any irreplaceable data, configuration, evidence, or state","Defines protected assets, method, frequency, encryption, retention, monitoring, and ownership.",Infrastructure DevOps
TOS-CTR-079,Operations and Evidence,Restore,contracts/operations-evidence/TOS-CTR-079_restore.yaml,conditional,Any backup-dependent system,"Defines restore target, procedure, dependencies, validation, time objective, and test frequency.",Infrastructure DevOps
TOS-CTR-080,Operations and Evidence,Runbook and Support,contracts/operations-evidence/TOS-CTR-080_runbook-support.yaml,conditional,"Any operated, handed-off, or externally used system","Defines trigger, prerequisites, steps, decision points, escalation, rollback, and owner.",Knowledge Manager
TOS-CTR-081,Operations and Evidence,Cost and Vendor,contracts/operations-evidence/TOS-CTR-081_cost-vendor.yaml,conditional,"Any material provider, vendor, subscription, labor, or operational cost","Defines vendor, service, owner, cost model, limits, renewal, exit, and risk.",Cost Pricing
TOS-CTR-082,Operations and Evidence,Business Continuity,contracts/operations-evidence/TOS-CTR-082_business-continuity.yaml,conditional,Any service or process whose interruption is material,"Defines critical functions, dependencies, continuity strategy, recovery priorities, and tests.",Operations Manager
TOS-CTR-083,Operations and Evidence,External Authorization,contracts/operations-evidence/TOS-CTR-083_external-authorization.yaml,conditional,"Any client, participant, provider, legal, or external approval gate","Defines authorizer, subject, scope, conditions, evidence, validity, and revocation.",Legal Contracts Coordinator
TOS-CTR-084,Operations and Evidence,Public Claim,contracts/operations-evidence/TOS-CTR-084_public-claim.yaml,conditional,"Any public, client-facing, sales, legal, privacy, security, or readiness statement","Defines exact claim, owner, evidence, audience, permitted wording, expiry, and withdrawal.",Marketing Positioning
TOS-CTR-085,AI and Agent Control,Agent Role,contracts/ai-agent/TOS-CTR-085_agent-role.yaml,conditional,Any AI agent or automated function,"Defines mission, accountable function, owned outcomes, exclusions, required inputs, outputs, and quality gates.",Workflow Coordinator
TOS-CTR-086,AI and Agent Control,Agent Authority,contracts/ai-agent/TOS-CTR-086_agent-authority.yaml,conditional,Any AI agent allowed to take actions,"Defines allowed decisions, prohibited decisions, approval needs, escalation, and human override.",Owner
TOS-CTR-087,AI and Agent Control,Agent Tool Permission,contracts/ai-agent/TOS-CTR-087_agent-tool-permission.yaml,conditional,Any AI agent with tool or connector access,"Defines tool, operations, resource scope, data scope, environment, logging, and revocation.",Security Privacy
TOS-CTR-088,AI and Agent Control,Agent Work Context,contracts/ai-agent/TOS-CTR-088_agent-work-context.yaml,conditional,Any bounded AI task,"Defines authoritative sources, current state, task objective, constraints, assumptions, and stale-context rules.",Workflow Coordinator
TOS-CTR-089,AI and Agent Control,Prompt and Instruction,contracts/ai-agent/TOS-CTR-089_prompt-instruction.yaml,conditional,"Any reusable agent prompt, system instruction, or skill","Defines purpose, precedence, inputs, outputs, prohibited behavior, verification, and versioning.",Knowledge Manager
TOS-CTR-090,AI and Agent Control,Agent Memory,contracts/ai-agent/TOS-CTR-090_agent-memory.yaml,conditional,Any retained agent or project context,"Defines memory categories, source, write authority, retention, sensitivity, correction, and deletion.",Security Privacy
TOS-CTR-091,AI and Agent Control,Agent Evaluation,contracts/ai-agent/TOS-CTR-091_agent-evaluation.yaml,conditional,"Any agent role, workflow, prompt, or tool policy","Defines scenarios, expected behavior, forbidden behavior, scoring, thresholds, and regression cadence.",QA Test Engineer
TOS-CTR-092,AI and Agent Control,Agent Handoff,contracts/ai-agent/TOS-CTR-092_agent-handoff.yaml,conditional,Any AI-to-AI or AI-to-human transfer,"Defines source task, state, evidence, unresolved matters, assumptions, and receiving authority.",Workflow Coordinator
TOS-CTR-093,AI and Agent Control,Agent Review Separation,contracts/ai-agent/TOS-CTR-093_agent-review-separation.yaml,conditional,Any AI-generated material decision or implementation,"Defines implementer, independent reviewer, verifier, prohibited self-approval, and override.",QA Test Engineer
TOS-CTR-094,AI and Agent Control,Agent Failure and Retry,contracts/ai-agent/TOS-CTR-094_agent-failure-retry.yaml,conditional,Any automated or agent-executed process,"Defines failure classes, retry policy, idempotency, quarantine, escalation, and stop conditions.",Workflow Coordinator
TOS-CTR-095,AI and Agent Control,Agent Audit,contracts/ai-agent/TOS-CTR-095_agent-audit.yaml,conditional,Any agent action with material impact,"Defines recorded inputs, tool calls, outputs, decisions, changes, evidence, and retention.",Security Privacy
TOS-CTR-096,AI and Agent Control,Human Override,contracts/ai-agent/TOS-CTR-096_human-override.yaml,core,Every TOS-controlled automated action,"Defines who may pause, cancel, reverse, approve, or supersede automation and how it is recorded.",Owner
TOS-CTR-097,"Commercial, Product, and Client",Product Outcome,contracts/commercial-product-client/TOS-CTR-097_product-outcome.yaml,conditional,"Any product, service, client engagement, or internal initiative","Defines target user, problem, outcome, value measure, constraints, and non-goals.",Product Manager
TOS-CTR-098,"Commercial, Product, and Client",User and Actor,contracts/commercial-product-client/TOS-CTR-098_user-actor.yaml,conditional,"Any system with human, organizational, machine, or external actors","Defines actor identity, goals, capabilities, scope, responsibilities, and prohibited actions.",Product Manager
TOS-CTR-099,"Commercial, Product, and Client",Customer and Organization Lifecycle,contracts/commercial-product-client/TOS-CTR-099_customer-organization-lifecycle.yaml,conditional,"Any client, tenant, customer, location, or organizational account","Defines prospect, onboarding, activation, operation, suspension, offboarding, retention, and deletion.",Client Success Implementation
TOS-CTR-100,"Commercial, Product, and Client",Entitlement and Billing,contracts/commercial-product-client/TOS-CTR-100_entitlement-billing.yaml,conditional,"Any paid, limited, metered, licensed, or tiered capability","Defines offers, entitlements, grant source, metering, billing events, suspension, and audit.",Cost Pricing
TOS-CTR-101,"Commercial, Product, and Client",Offer and Service Tier,contracts/commercial-product-client/TOS-CTR-101_offer-service-tier.yaml,conditional,"Any packaged product, service, subscription, or engagement level","Defines included outcomes, exclusions, limits, support, pricing basis, eligibility, and changes.",Product Manager
TOS-CTR-102,"Commercial, Product, and Client",Client Contract and Statement of Work,contracts/commercial-product-client/TOS-CTR-102_client-contract-sow.yaml,conditional,Any client-facing paid or obligated engagement,"Defines parties, scope, deliverables, acceptance, responsibilities, commercial terms, change control, and termination.",Legal Contracts Coordinator
TOS-CTR-103,"Commercial, Product, and Client",Pilot,contracts/commercial-product-client/TOS-CTR-103_pilot.yaml,conditional,"Any real-user trial, limited deployment, or evaluation","Defines purpose, participants, scope, data, duration, support, success criteria, stop conditions, and authorization.",Project Manager
TOS-CTR-104,"Commercial, Product, and Client",Consent and Participation,contracts/commercial-product-client/TOS-CTR-104_consent-participation.yaml,conditional,"Any participant notice, consent, agreement, or voluntary study activity","Defines audience, information, choice, evidence, withdrawal, data handling, and validity.",Legal Contracts Coordinator
TOS-CTR-105,"Commercial, Product, and Client",Pricing and Budget,contracts/commercial-product-client/TOS-CTR-105_pricing-budget.yaml,conditional,"Any project with cost, price, revenue, budget, or financial exposure","Defines assumptions, cost basis, price basis, budget limits, approval thresholds, variance, and review.",Cost Pricing
